volume_name,title,authors,year,pdf_link,url
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Learning to Tag OOV,"He, Keqing, Yan, Yuanmeng, Xu, Weiran",2020,https://aclanthology.org/2020.acl-main.58/,https://aclanthology.org/2020.acl-main.58/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Multi-Agent Task-Oriented Dialog Policy Learning with Role-Aware Reward Decomposition,"Takanobu, Ryuichi, Liang, Runze, Huang, Minlie",2020,https://aclanthology.org/2020.acl-main.59/,https://aclanthology.org/2020.acl-main.59/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Paraphrase Augmented Task-Oriented Dialog Generation,"Gao, Silin, Zhang, Yichi, Ou, Zhijian, Yu, Zhou",2020,https://aclanthology.org/2020.acl-main.60/,https://aclanthology.org/2020.acl-main.60/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation,"Tian, Zhiliang, Bi, Wei, Lee, Dongkyu, Xue, Lanqing, Song, Yiping, Liu, Xiaojiang, Zhang, Nevin L.",2020,https://aclanthology.org/2020.acl-main.61/,https://aclanthology.org/2020.acl-main.61/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,"Huang, Xinting, Qi, Jianzhong, Sun, Yu, Zhang, Rui",2020,https://aclanthology.org/2020.acl-main.62/,https://aclanthology.org/2020.acl-main.62/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Towards Unsupervised Language Understanding and Generation by Joint Dual Learning,"Su, Shang-Yu, Huang, Chao-Wei, Chen, Yun-Nung",2020,https://aclanthology.org/2020.acl-main.63/,https://aclanthology.org/2020.acl-main.63/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,USR,"Mehri, Shikib, Eskenazi, Maxine",2020,https://aclanthology.org/2020.acl-main.64/,https://aclanthology.org/2020.acl-main.64/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Explicit Semantic Decomposition for Definition Generation,"Li, Jiahuan, Bao, Yu, Huang, Shujian, Dai, Xinyu, Chen, Jiajun",2020,https://aclanthology.org/2020.acl-main.65/,https://aclanthology.org/2020.acl-main.65/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Improved Natural Language Generation via Loss Truncation,"Kang, Daniel, Hashimoto, Tatsunori B.",2020,https://aclanthology.org/2020.acl-main.66/,https://aclanthology.org/2020.acl-main.66/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Line Graph Enhanced AMR,"Zhao, Yanbin, Chen, Lu, Chen, Zhi, Cao, Ruisheng, Zhu, Su, Yu, Kai",2020,https://aclanthology.org/2020.acl-main.67/,https://aclanthology.org/2020.acl-main.67/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Rigid Formats Controlled Text Generation,"Li, Piji, Zhang, Haisong, Liu, Xiaojiang, Shi, Shuming",2020,https://aclanthology.org/2020.acl-main.68/,https://aclanthology.org/2020.acl-main.68/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Syn-QG,"Dhole, Kaustubh, Manning, Christopher D.",2020,https://aclanthology.org/2020.acl-main.69/,https://aclanthology.org/2020.acl-main.69/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,An Online Semantic-enhanced D,"Kumar, Jay, Shao, Junming, Uddin, Salah, Ali, Wazir",2020,https://aclanthology.org/2020.acl-main.70/,https://aclanthology.org/2020.acl-main.70/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Generative Semantic Hashing Enhanced via B,"Zheng, Lin, Su, Qinliang, Shen, Dinghan, Chen, Changyou",2020,https://aclanthology.org/2020.acl-main.71/,https://aclanthology.org/2020.acl-main.71/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Interactive Construction of User-Centric Dictionary for Text Analytics,"Kohita, Ryosuke, Yoshida, Issei, Kanayama, Hiroshi, Nasukawa, Tetsuya",2020,https://aclanthology.org/2020.acl-main.72/,https://aclanthology.org/2020.acl-main.72/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,T,"Isonuma, Masaru, Mori, Junichiro, Bollegala, Danushka, Sakata, Ichiro",2020,https://aclanthology.org/2020.acl-main.73/,https://aclanthology.org/2020.acl-main.73/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Unsupervised FAQ,"Mass, Yosi, Carmeli, Boaz, Roitman, Haggai, Konopnicki, David",2020,https://aclanthology.org/2020.acl-main.74/,https://aclanthology.org/2020.acl-main.74/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,\textquotedblleft,"Zhou, Yichao, Jiang, Jyun-Yu, Zhao, Jieyu, Chang, Kai-Wei, Wang, Wei",2020,https://aclanthology.org/2020.acl-main.75/,https://aclanthology.org/2020.acl-main.75/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Fast and Accurate Deep Bidirectional Language Representations for Unsupervised Learning,"Shin, Joongbo, Lee, Yoonhyung, Yoon, Seunghyun, Jung, Kyomin",2020,https://aclanthology.org/2020.acl-main.76/,https://aclanthology.org/2020.acl-main.76/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Fine-grained Interest Matching for Neural News Recommendation,"Wang, Heyuan, Wu, Fangzhao, Liu, Zheng, Xie, Xing",2020,https://aclanthology.org/2020.acl-main.77/,https://aclanthology.org/2020.acl-main.77/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Interpretable Operational Risk Classification with Semi-Supervised Variational Autoencoder,"Zhou, Fan, Zhang, Shengming, Yang, Yi",2020,https://aclanthology.org/2020.acl-main.78/,https://aclanthology.org/2020.acl-main.78/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Interpreting T,"Zhong, Ting, Wang, Tianliang, Zhou, Fan, Trajcevski, Goce, Zhang, Kunpeng, Yang, Yi",2020,https://aclanthology.org/2020.acl-main.79/,https://aclanthology.org/2020.acl-main.79/
